gene_id	colors
SQRDL	yellow
DEGS2	brown
NQO1	grey
FCGRT	brown
LOC101926951 /// PCDH20	yellow
ZBTB10	yellow
AEBP1	blue
SLC9A2	yellow
IL1A	blue
ZFY	blue
GPR137B	grey
RRAS2	brown
RARRES3	cyan
CYP4F12	brown
FYB	blue
CH25H	blue
PKIG	yellow
TMEM154	blue
VGLL3	blue
BTNL3	brown
PLVAP	blue
SGK1	brown
FSTL1	blue
C8orf4	turquoise
MATR3	red
CELP	brown
LIPG	green
TPSAB1 /// TPSB2	grey
HSPA1A /// HSPA1B /// HSPA1L	green
SET /// SETP4 /// SETSIP	turquoise
SERPINB9	blue
CD163	blue
HLA-DQB1 /// LOC101060835	cyan
CUBN	brown
TNFRSF1B	blue
ICAM2	purple
HMOX1	brown
GSAP	blue
JAM2	blue
MTCL1	blue
ESPL1	brown
PLSCR4	yellow
HSD3B1	brown
PDGFRB	blue
RND1	green
CYP4X1	turquoise
SCG5	blue
CST7	blue
MXI1	yellow
ANGPTL2	blue
ITLN1	grey
AMIGO2	blue
CCDC170	brown
GPRC5A	green
CHSY1	blue
SEMA3C	turquoise
FZD7	brown
ID1	turquoise
MSLN	grey
HSPA6	blue
DRAM1	blue
KLK11	grey
SLC43A2	brown
MIER3	turquoise
SFXN3	brown
KANSL1-AS1	brown
BIK	yellow
EDNRA	blue
NCF4	blue
SCD	yellow
PTPRC	purple
LOC283070	yellow
S100A2	green
LOC100134822	blue
TMEM140	brown
COL10A1	blue
HLA-DRA	cyan
SULF2	green
PBK	turquoise
CA13 /// LOC100507258	brown
LINC01000 /// LINC01001 /// LINC01002 /// LOC100132062 /// LOC100133182 /// LOC100133331 /// LOC101929819 /// LOC729737	blue
ITPKA	brown
MUC20	yellow
CAPN8	yellow
MICB	cyan
UGT1A1 /// UGT1A3 /// UGT1A5 /// UGT1A8 /// UGT1A9	magenta
CTSH	brown
ASS1	green
FAM213A	brown
LINC00623 /// LINC00869 /// LINC01138 /// LOC103091866	blue
LDHD	yellow
PRPS2	yellow
SGK223	brown
ECSCR	blue
HOXA7	yellow
SOX6	brown
ETFDH	brown
HRCT1	yellow
F3	green
DLST	turquoise
GDPD3	yellow
PRKAB2	brown
AMFR	brown
LOC100130872 /// SPON2	blue
VEGFC	blue
SMAGP	yellow
AGPAT4	green
FAM198B	blue
ADH1B	grey
LRRC75A	brown
PLA2G2A	turquoise
AX747630	brown
LAP3	cyan
IGLV4-60 /// IGLV4-60	blue
TNF	blue
EMR2	blue
IGH /// IGHA2 /// IGHD /// IGHG1	salmon
TNFAIP3	blue
FCRL5	salmon
FAM46C	blue
ISG15	turquoise
DDIT4	green
ANO6	brown
FAT4	blue
RGS1	blue
SLA	purple
FGF2	blue
SMN1 /// SMN2	turquoise
CD81	salmon
LOC389834 /// MAFIP /// TEKT4P2	turquoise
LOC101929340	yellow
SOCS3	blue
TIMP2	blue
CLDN1	green
LOC100996506 /// RETSAT	tan
SOD3	yellow
MAOA	magenta
FAM169A	turquoise
NFE2	blue
MYO15B	brown
EHF	yellow
MB21D2	brown
FAS	turquoise
STYK1	yellow
KAT2B	brown
BOLA2 /// LOC101060386 /// LOC101060596 /// LOC101060604 /// LOC102723773 /// LOC613037 /// NPIPA5 /// NPIPB4 /// NPIPB5 /// SLC7A5P1 /// SMG1 /// SMG1P1 /// SMG1P2 /// SMG1P3 /// SMG1P5 /// SMG1P7	red
DUSP2	blue
SGPP1	turquoise
AOC3	blue
WLS	green
THBD	blue
PIK3AP1	blue
ISLR	blue
ITGB2	purple
LPCAT3	brown
LAX1	salmon
ALDOC	brown
KLF4	yellow
RGS5	blue
IGHG1 /// LOC101930405	blue
XCL1 /// XCL2	brown
LRG1	yellow
FAM132A	brown
CRIP2	blue
SRPX	blue
MXD1	turquoise
DPYSL2	blue
TMEM37	magenta
TRPM6	magenta
LAMC1	blue
LOC102724229 /// RASA4 /// RASA4B	brown
VMP1	yellow
SPIB	grey
SELM	blue
USP9Y	blue
APOE	blue
ANLN	turquoise
FLNA	blue
ND6	turquoise
XDH	greenyellow
LHFP	blue
ARSJ	yellow
LOC644090 /// RP13-452N2.1	brown
CPNE2	yellow
LRIG3	turquoise
SCAPER	brown
HINT3	red
SH3KBP1	yellow
BHLHE40	green
CPXM1	blue
EOGT	blue
ITGA2	green
OLFML3	blue
RP11-403P17.4	red
LINC00467	brown
RP11-247L20.4	turquoise
LOC101927157 /// NIPAL1	yellow
CENPK	turquoise
CD8A	brown
GATM	brown
GBP2	cyan
SGPP2	red
LCP2	blue
PROS1	turquoise
KCTD10	yellow
HEPACAM2	magenta
RHOQ	blue
TSPAN6	turquoise
EIF5A	turquoise
BIRC3	brown
HLA-DRB1 /// HLA-DRB4 /// LOC100996809	cyan
USP53	yellow
ABHD6	brown
B3GNT8	brown
SUCNR1	blue
LINC00960	grey
NAPSB	purple
RHPN2	yellow
RPS11	red
CSF3	blue
CYP27B1	turquoise
FYN	blue
HLA-DQB1 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// LOC100996809 /// LOC101060835	cyan
APOL3	cyan
CCNE2	turquoise
CNNM4	yellow
TTC36	brown
QPRT	grey
TNFAIP8	blue
SNHG18	magenta
MIA2	brown
LINC00597	red
RILPL2	blue
AMICA1	blue
BLNK	brown
GJB2	turquoise
C7orf31	yellow
S1PR3	blue
MEF2C	purple
SSX2IP	brown
GPX3	blue
BACE2	green
CHGB	greenyellow
DDHD2	brown
GPX8	blue
MFAP2	blue
NEURL1B	magenta
FKBP1B	magenta
MAL2	yellow
NUS1 /// NUS1P3	turquoise
DUSP14	blue
RASGRP1	purple
MT1G	brown
HLA-DQB1 /// HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5 /// LOC100996809 /// LOC101060835	cyan
C12orf5	turquoise
CCDC58	yellow
UBE2E2	blue
TNFRSF12A	turquoise
CD38	purple
IFI30 /// PIK3R2	cyan
KCNK5	brown
LBH	purple
DNAJB6 /// TMEM135	turquoise
TNFSF15	brown
HLX	blue
ECM2	brown
GCNT2	brown
FAM49A	blue
OPN3	yellow
TMEM176A	black
CA9	brown
ZFAND2A	turquoise
RAB8B	brown
FCRLA	purple
LINC01061 /// LOC441124 /// LOC729218	red
CLIC3	yellow
EDNRB	blue
BEX4	turquoise
SYNC	yellow
SASH3	purple
GHR	yellow
APOC2 /// APOC4 /// APOC4-APOC2	brown
GYG2	turquoise
VPREB3	purple
DHRS1	brown
AK025288	red
IFITM2	blue
ZCCHC24	blue
CETN3	turquoise
MAB21L3	yellow
PKDCC	brown
TMEM139	brown
KCNN4	green
ZNF185	grey
FXYD5	salmon
NAP1L5	turquoise
CCDC3	blue
FAM101B	blue
EGR2	blue
GPR34	grey
HPGD	greenyellow
IGLC1	salmon
AFAP1L2	green
SATB2-AS1	yellow
CYP51A1 /// LRRD1	turquoise
C5orf30	turquoise
NRCAM	blue
ABCC6 /// LOC101930322	brown
PPT1	blue
TCEAL7	blue
LOC340340	blue
TSPAN7	yellow
DNAJC12	turquoise
SGMS1	turquoise
DUSP6	green
CASP1	cyan
C4orf48	brown
TMEM92	brown
RAD51AP1	turquoise
LOC102724870	turquoise
SEPT10	turquoise
MIR6732 /// ZC3H12A	green
ACSF2	magenta
CDKN2B	greenyellow
LOC100288675	turquoise
SLC4A4	yellow
RNF125	magenta
CDV3	turquoise
ZBP1	green
KIAA0922	purple
COX7A1	blue
EDN3	brown
THBS1	blue
CFL2	blue
TPSAB1	grey
SLC27A4	brown
CDC42EP3	yellow
BASP1	blue
SIDT2	brown
RMDN3	brown
PXDC1	brown
MYO5C	yellow
ITM2A	blue
ANXA3	green
FAM3D	yellow
SPON1	grey
SSFA2	turquoise
THY1	blue
APOM	brown
ELMO1	blue
CCL24	turquoise
STRADB	brown
PNOC	salmon
CD1D	brown
EHHADH	brown
CLEC2B	blue
GLYCTK	brown
HERC5	brown
RASSF5	blue
PSTPIP2	blue
MOCOS	brown
MDK	tan
ANO9	brown
MAOB	brown
PLTP	blue
CNDP1	brown
ATP7B	brown
CBS	brown
FNDC3B /// LOC101928615	green
TSPYL5	blue
LOC100287896	brown
SYTL1	salmon
EFEMP1	blue
KRT12	greenyellow
CNGA1	magenta
SERTAD3	turquoise
ASB13	brown
NUF2	turquoise
ACSL3	yellow
COL8A1	blue
CHMP4C	brown
ERP27	yellow
IL4I1	blue
CD300LF	blue
IGHA1 /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100293211	salmon
BTK	purple
SERINC5	yellow
PF4	green
EFNB2	yellow
ST8SIA4	blue
CISD1	brown
LOC101928620 /// POU2AF1	salmon
GDPD1	brown
DENND2A	yellow
SECTM1	brown
C1orf54	blue
FOXF1	blue
KLRB1	brown
BPGM	blue
SMAP2	salmon
NKG7	brown
HMCN1	blue
GPR171	cyan
RGS13	blue
ADRA2A	yellow
CDC6	turquoise
MYEOV	green
TMEM241	red
APIP	yellow
ITGB6 /// LOC100505984	green
PHYH	brown
MYO1B	yellow
GPX4	brown
LOC100505915	red
NTN4	brown
NUDT4 /// NUDT4P1 /// NUDT4P2	turquoise
C11orf86	brown
CSGALNACT2	blue
TRIM22	turquoise
CHPT1	brown
IL7	greenyellow
IL1R1	blue
RAMP3	blue
FOXF2	blue
PREX1	blue
BGN	blue
IDNK	brown
PTRF	blue
TGFBR3	blue
RBM24	yellow
PKIA	blue
SCRN1	purple
SLITRK6	yellow
CTTNBP2NL	yellow
FCGR2C	blue
TNFRSF21	green
NKX2-3	brown
ZNF267	blue
VIM	blue
LCK	purple
HOXD10	yellow
LOC100507459	yellow
CDH1	tan
RP6-99M1.2	green
CLEC4D	blue
SLC2A10	yellow
SSTR1	brown
HSPA13	blue
HS3ST3A1	blue
CEP55	turquoise
PMAIP1	blue
TTK	turquoise
TMEM256	brown
RNF186	grey
HIST1H2BC	green
GPT2	yellow
NOD2	blue
HSD17B6	blue
CLEC4E	blue
KCNJ16	brown
CORO1C	turquoise
SLC4A7	brown
PRSS23	blue
CLDN23	yellow
GIPC1	yellow
MX1	cyan
EXPH5	yellow
CRYBB2 /// CRYBB2P1	turquoise
E2F8	turquoise
HSD17B11	brown
CYP26B1	blue
WIPI1	yellow
BAG3	green
PLK2	blue
TLE1	yellow
KLHL13	brown
AICDA	purple
ECHDC3	grey
MYC	turquoise
CHST11	blue
LSP1	blue
LRRC31	greenyellow
LOC101060391	turquoise
KLHL5	blue
LOC101929857 /// SLX1A-SULT1A3 /// SLX1B-SULT1A4 /// SULT1A3 /// SULT1A4	brown
MAP3K7CL	blue
LYPD6B	grey
ARSE	turquoise
BTN3A3	cyan
PLIN2	brown
GABRA2	brown
GNS	brown
ARMCX1	blue
CDHR1	yellow
IFI44	cyan
NR5A2	brown
GTF2I	turquoise
COL18A1	blue
MARC1	yellow
ALDH6A1	brown
PEA15	blue
RIMS3	yellow
NAT2	brown
IRS1	green
LAIR2	grey
CCDC109B	turquoise
AREG	green
CHRDL2	blue
LINC00479	brown
TMEM56	magenta
ETHE1	yellow
ARHGAP18	brown
ATF3	green
KLHL6	purple
PRNP	blue
DDR2	blue
MAP3K8	blue
HMGCR	yellow
LCORL	brown
SRSF6	grey
ACOT13	yellow
LOC100131541	red
NRN1	blue
PKD2	blue
FAM134B	yellow
LPCAT1	green
SNORD89	blue
TRIP6	blue
VAV1	blue
UBE2T	turquoise
PIR	turquoise
HSPA1A /// HSPA1B	green
STX11	blue
ARRB2	brown
FBXO6	cyan
ZFP36	blue
FHL2	green
ETV7	cyan
NUCB1	brown
DEGS1	brown
IFITM1 /// IFITM2	blue
SFN	green
SLC5A4	brown
AC004951.6 /// AX747182	red
SRGAP2C	red
FCRL3	purple
SLC7A5	blue
RAB23	yellow
PLAC8	turquoise
RNASE6	purple
NCK1	turquoise
CCR6	brown
LRRC19	greenyellow
COX3 /// LOC101929612	tan
CRISP2	brown
GPR110	grey
SUDS3	turquoise
CCR2	blue
HSP90AB1	turquoise
EDN2	brown
CDK1	turquoise
RP5-1092A3.4	lightcyan
TRIM29	blue
FAM83D	turquoise
ANGPTL4	brown
FIBIN	blue
ZNF423	blue
DOK3	blue
CRLF3	green
CDA	green
IGHG1 /// IGHM /// LOC102725426 /// MIR8071-1 /// MIR8071-2	purple
LOX	blue
MLIP	brown
CXCL14	brown
SEMA6D	brown
UBE2S	turquoise
WNT2	blue
FSCN1	blue
PTPRM	blue
MAGEH1	blue
CD86	blue
GPX2	yellow
KRT23	blue
RGS19	purple
NR3C2	yellow
NOTCH2NL	grey
FOXA1	yellow
SAMD9L	turquoise
EMILIN1	blue
POPDC3	blue
CDKN1C	brown
PRSS3P2	brown
DACH1	brown
CD48	purple
CHST15	blue
CREB5	blue
SPINK1	greenyellow
MIR31HG	brown
RHOBTB1	grey
ABCA5	brown
C3orf80	blue
GPC6	blue
TLR10	purple
C6	brown
CBR3	turquoise
FAM47E /// FAM47E-STBD1 /// STBD1	black
DLGAP5	turquoise
CD82	brown
RP11-486A14.1	brown
ESPN	brown
CD2	purple
PFKFB4	brown
LOC440354 /// SMG1P5	red
ESRP1	yellow
MSH2	turquoise
RAB9A	turquoise
FMO5	brown
CCNA2	turquoise
ACADM	brown
GNB4	blue
LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL	red
RGCC	blue
LITAF	green
ST6GAL1	salmon
CTSO	brown
ITK	purple
VIL1	brown
EPN3	yellow
GCLM	brown
C5orf17	grey
PMS2P5	red
HLA-DMA	cyan
RP11-747H7.3	yellow
LAMC2	green
NT5C2	turquoise
HOXD8	blue
FAM43A	yellow
IGKC /// IGKV1-5 /// IGKV1-5 /// IGL@	salmon
FADS1 /// MIR1908	blue
ARHGEF6	purple
CD68 /// LOC101928634 /// SNORA67	brown
PROCR	blue
GABRE /// MIR224 /// MIR452	brown
IL2RG	pink
HHLA2	greenyellow
NFE2L3	turquoise
CD44	blue
CLEC10A	grey
FST	blue
ZDHHC11 /// ZDHHC11B	brown
SEC16B	brown
PMEPA1	green
ARMCX2	blue
ASPHD2	green
MIA	blue
FUT2	greenyellow
GNG11	blue
GIMAP2	turquoise
DGAT2	brown
GADD45B	blue
MLKL	blue
HIBCH	turquoise
KDM4C /// KDM4C	brown
CDCA3	brown
IGKC	salmon
PIM3	green
UGDH	turquoise
PTPRCAP	purple
UBE2L6	cyan
BAIAP2L1	green
LINC01279	blue
LOC102724356	red
TMEM64	brown
GC	brown
C9orf152	yellow
NABP1	brown
LOC100996717 /// LOC100996763 /// LOC101929796 /// NOTCH2 /// NOTCH2NL	blue
ANKRD36BP2	salmon
DPP10-AS1	brown
PPP1R15A	blue
HMGN2P46	yellow
AGT	grey
HEG1	blue
ACBD5	brown
GPAT2	green
MYADM	blue
LOC644090	brown
MCL1	turquoise
LOC100506558 /// MATN2	brown
REEP3	brown
HSP90B1	turquoise
SLC39A10	turquoise
AOC1	black
CLIC6	yellow
LOC101928152	yellow
AMPD3	blue
ANKRD36B	red
CPPED1	brown
CTA-250D10.23	purple
TUBB2A	grey
PECR	brown
SLC30A4	brown
TMPRSS2	turquoise
CYB5R2	green
IRF1	cyan
ITGAL	purple
SHCBP1	turquoise
H3F3A	lightcyan
BTC	turquoise
IRS2	yellow
IGFBP7	blue
CIPC	yellow
FAM72A /// FAM72B /// FAM72C /// FAM72D	turquoise
AGPAT9	brown
SYNM	blue
AP2B1	turquoise
PNMA1	green
WBP5	blue
PODXL	blue
CENPH	turquoise
SPATA20	yellow
EPHX1	black
ZSCAN31	grey
GNPDA1	brown
CDIP1	brown
ZNF217	turquoise
TCEAL4	blue
COL16A1	brown
NR1H3	brown
PRMT6	turquoise
ELOVL7	brown
TFEC	cyan
KLRC1 /// KLRC2	greenyellow
OLFML2A	blue
VRK2	turquoise
IFITM3	blue
EMR1	blue
AHR	blue
LOC389831	grey
LYRM5	brown
ZDHHC23	yellow
SYNPO2	blue
MFAP4	blue
SPOCK1	blue
ESRP2 /// MIR6773	yellow
IGSF9	black
GABRP	grey
SPIN4	turquoise
AGAP4	red
SIK1	green
XXbac-B476C20.9	magenta
EVA1C	blue
HKDC1	brown
ITGA4	purple
CLEC14A	blue
DNAAF2	turquoise
IGHA1 /// IGHG1 /// IGHM	salmon
CTA-292E10.6	grey
OLFM1	blue
RHOJ	blue
FAM84A /// LOC653602	greenyellow
TC2N	turquoise
HAPLN1	turquoise
P2RX7	blue
CCT2	turquoise
ODC1	green
STMN2	turquoise
SAMD5	turquoise
RMI2	yellow
CAPN13	brown
PRTFDC1	turquoise
BC041025	red
NUAK1	blue
TMEM171	yellow
CFD	blue
RP11-138A9.1	red
RP11-271C24.3	red
TMEM74B	brown
C8orf76	turquoise
THAP9-AS1	turquoise
TWIST2	blue
HRH1	yellow
PMP22	brown
PRKX	turquoise
HIST1H2BG /// HIST1H2BJ	yellow
SLC44A4	turquoise
IGHV3-54	salmon
CCR5	cyan
SIDT1	yellow
PRC1	turquoise
PPAP2B	brown
ACTG2	blue
SUGCT	magenta
STEAP2	green
ACSL4	blue
MZT2B	red
BCL11A	red
GLO1	brown
NEU1	brown
CD3D	purple
IL15	cyan
TM4SF18	blue
TPST1	blue
TMEM123	turquoise
LOC285812	brown
IKBIP	blue
GNA11	brown
TMEM117	brown
STAT4	blue
SKI	grey
DNAJB4	blue
CCNB1	turquoise
IRF8	cyan
RNF19B	blue
PDPN	blue
NR2F1	blue
LINC00261	grey
PHLPP2	brown
VKORC1	brown
LOC102724884 /// LOC728613 /// PDCD6	brown
CCDC104	turquoise
RP11-373D23.2	grey
UBE2M	turquoise
TRAT1	purple
FNIP2	yellow
CYP2B6	magenta
CASP4	brown
KIZ	brown
SNHG17	turquoise
NLRP6	brown
EPHA4	yellow
C10orf10	salmon
CD37	purple
SNRNP40	turquoise
PSMB9	cyan
NR3C1	brown
ARL5B	turquoise
RAB32	yellow
MOGAT3	brown
MAD2L1	turquoise
KCNJ15	blue
ISOC2	turquoise
AX747132 /// RP11-458D21.1 /// RP4-791M13.3	red
HTR2B	brown
EMP1	yellow
AL832909 /// LINC00984	yellow
INPP5J	brown
ADAMTS3	blue
EMR3	blue
KIAA1551	brown
IL3RA	green
SPDL1	turquoise
TMC5	greenyellow
C2orf40	blue
CRYAB	blue
MS4A4A	blue
SPRY2	yellow
MYOF	green
JAZF1	blue
MTM1	turquoise
LOC102725188 /// LOC727820	red
HES4	green
MAP1B	blue
SEPHS2	brown
FAM231D /// LOC388692	tan
ANXA5	blue
LBX2-AS1	black
PLEKHG6	black
SLC2A6	blue
ZNF575	yellow
MIR3185 /// PRAC2	yellow
PLEKHF2	turquoise
TRNP1	brown
EPS8L1	green
DPEP2	blue
HLA-DPB1	cyan
TRAC /// TRAJ17 /// TRAV20 /// TRDV2	purple
MCC	blue
SPHK1	blue
KIAA0125	salmon
LINC01215	purple
C17orf97	grey
KB-431C1.4	turquoise
EBPL	yellow
SLC6A8	grey60
FAM230B	red
EFNA1	magenta
SLC44A2	yellow
NUDT4 /// NUDT4P1	yellow
NLRC3	purple
E2F5	turquoise
SPA17	yellow
AKR1C1 /// AKR1C2 /// LOC101930400	grey
TMEM246	yellow
HAS3	green
IGFBP6	blue
STIL	turquoise
RP11-111M22.3	turquoise
IGHA1 /// IGHV4-31	salmon
OIP5	turquoise
ZBTB16	blue
FERMT1	yellow
CENPA /// SLC35F6	turquoise
ENTPD5	black
HIST1H4H	greenyellow
BEX2	turquoise
SPC25	turquoise
S1PR1	blue
ARHGDIB	purple
KMO	blue
NCAPG2	turquoise
FOLR3	green
C1orf115	brown
LOC100129406	red
ETNK1	turquoise
MAP4K5	turquoise
ABHD14B	black
ETS1	blue
KIF11	turquoise
IVNS1ABP	green
CYP3A43	brown
PSAT1	turquoise
MUCL1	blue
CYP3A7 /// CYP3A7-CYP3AP1	brown
KRT14	brown
PLS3	blue
TMEM98	brown
LOC100996255	red
C11orf24	brown
HNRNPH1	turquoise
MLF1	yellow
AK1	yellow
CCL22	blue
PPL	grey
NFIL3	blue
MIR302B	turquoise
ARL14	yellow
BCAS1	grey
TNFSF10	greenyellow
MAB21L2	blue
NINJ1	blue
B3GALT5	greenyellow
CLMN	yellow
COLEC12	blue
FBLN5	blue
PRRG1	turquoise
UBE2Q2	yellow
ENTPD7	brown
ZNF514	red
LY75	greenyellow
APOC1	purple
FZD6	turquoise
CDK18	brown
GPD2	turquoise
TRIM16	grey
LRP8	green
ENDOD1	yellow
CD97	green
DPCD	green
PSENEN	turquoise
ZMYND12	turquoise
RP11-96D1.11	yellow
DNAJB13	black
WFDC1	blue
LARS2	yellow
CRNDE	blue
PAX5	purple
BICC1	blue
CGREF1	brown
LTBP1	yellow
RANBP6	turquoise
ST3GAL1	blue
LY86	purple
TCEAL3	blue
CLDN3	yellow
LINC00324	brown
TMEM231	grey
GPR89A /// GPR89B	brown
PDE9A	yellow
GCNT3	turquoise
DDX17	grey
FLRT2 /// LOC100506718	blue
TLCD2	yellow
NET1	turquoise
CSRNP1	green
CAMK1D	yellow
LOC101928274 /// VSIG10	brown
C11orf80	red
SMAD9	yellow
AK090844	red
TNFSF11	blue
LOC101927965 /// LRAT	brown
CAV2	blue
ONECUT2	brown
LYN	brown
LOC100996583	yellow
IGFBP5	blue
TTC8	yellow
FCN3	blue
DISP1	brown
NOXO1	yellow
WIPF1	purple
RP4-758J24.5	brown
IFT74	yellow
RP11-124L9.5	red
CSF1R	blue
FMOD	grey
RNF182	brown
GPR97	blue
EMILIN3	brown
MIR4680 /// PDCD4	turquoise
GORAB	turquoise
ECM1	blue
IMPA2	yellow
TM6SF1	blue
FUT11	blue
GALNT4 /// POC1B-GALNT4	turquoise
PSMC3	turquoise
MSANTD2	grey
NR1I2	brown
PRPS1	turquoise
FMO4	black
LIPH	turquoise
PAQR7	brown
NR1D2	grey
SDF2L1	turquoise
METTL18	turquoise
VRK1	turquoise
BMF	brown
FBLN2	blue
NPM3	turquoise
GTF2H2 /// GTF2H2B /// GTF2H2C	turquoise
LMAN1	midnightblue
LOC728554 /// THOC3	turquoise
CLEC1A	blue
DAPP1	green
SOX8	red
SLC25A1	black
LOC101928405	yellow
SCARA5	blue
TTC39B	greenyellow
BOK	black
SPTSSA	turquoise
CAPN9	grey
GUCY2C	brown
SESTD1	brown
ACVR2A	brown
GMNN	yellow
SERTAD2	yellow
CHST5	grey
PTGES	blue
LOC102723493	brown
BC044596	red
RNFT1 /// TBC1D3P1-DHX40P1	turquoise
APOLD1	blue
ENPP5	yellow
FAM102B	turquoise
NME1	turquoise
FKSG49	red
ARHGDIG	brown
HOXB9	yellow
SLC36A1	brown
HIST1H2AD /// HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J	turquoise
LOC400043	brown
PDZD3	brown
KCTD5	turquoise
MUC2	black
MBNL2 /// MBNL2	red
PAPD5	brown
SAA2-SAA4 /// SAA4	green
CTSV	yellow
CLEC7A	blue
HNRNPU-AS1	lightcyan
UCP2	blue
NPY	brown
HBEGF	green
SERPINI1	blue
L3MBTL3	turquoise
PLA2G2D	purple
SMIM2-AS1	yellow
MORN2	turquoise
ELK3	blue
HEY1	yellow
DKK3	blue
MBOAT2	yellow
DLAT	turquoise
TBC1D10C	purple
KCND3	yellow
DHCR24	yellow
C9orf40	brown
HGF	blue
RTN1	blue
EOMES	purple
CALU	blue
AL833181	red
HIST1H1C	yellow
TMED9	turquoise
LOC100289333	red
CAPG	blue
SPESP1	blue
ERMP1	yellow
IL19	grey
UBE2C	turquoise
MLPH	green
MEIS1	blue
AP006216.12 /// APOA1-AS	brown
ACOT7	brown
GALNT12	yellow
CENPU	turquoise
ARNTL2	blue
FEM1C	turquoise
HOOK1	magenta
SULT1A1	brown
GPR124	blue
ABI3BP	blue
CRIM1	turquoise
LNX1	greenyellow
SLC22A5	brown
LINC01293	yellow
SPNS2	green
CRISPLD1	blue
ARHGEF3	blue
TIPIN	turquoise
WRB	brown
FAR2P2 /// FAR2P3	yellow
BTG2	blue
NUS1P3	turquoise
LOC101929880 /// QPRT	grey
SLC39A6	blue
DNLZ	blue
LRP11	turquoise
ZNF367	turquoise
KLF6	turquoise
IRAK3	blue
LAMB1	blue
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	lightcyan
TMEM159	yellow
HLA-DRB1 /// HLA-DRB1	cyan
ADAMTS5	blue
HILPDA	blue
BTD	brown
CLPTM1	grey60
BNIP2	blue
SLC22A18	brown
LINC01268	brown
MGAT4A	brown
FCRL1	purple
MB	grey
CDC7	turquoise
SEC14L2	brown
HYKK	brown
CDC42SE2	turquoise
LHPP	brown
HAT1	turquoise
AMN	brown
NLRP2	magenta
LGALS3	red
RRM2	turquoise
CMAHP	yellow
ALOX5	grey
KNTC1	turquoise
SMOC2	turquoise
TPPP3	blue
LINC00888	blue
DCPS	turquoise
AXDND1	yellow
HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI	green
CTB-50L17.7	turquoise
DNAJB6	green
PFN2	black
ABCE1	turquoise
LOC100996732 /// LOC100996735 /// LOC645166 /// LOC654342	brown
SLFN12	blue
CFB	brown
RNF145	yellow
PILRA	blue
TBC1D9	blue
NIPSNAP3A	turquoise
C2	cyan
TPK1	green
SETBP1	blue
SH3BGRL3	green
PPIP5K2	turquoise
RP11-488L18.10	turquoise
CDYL	turquoise
RANBP2 /// RGPD1 /// RGPD2 /// RGPD3 /// RGPD4 /// RGPD5 /// RGPD6 /// RGPD8	red
MYL9	blue
AMACR /// C1QTNF3-AMACR	magenta
GLUD1	tan
ENO2	blue
ELL3	brown
HS3ST3B1	blue
IL18R1	blue
TTLL6	magenta
SLC34A2	brown
FOSL1	green
RP11-182L21.5	red
KLHL2	blue
TPO	yellow
ANKRD29	brown
ABCC13	magenta
GGTA1P	blue
NGFRAP1	blue
CXorf23	yellow
PAPSS2	yellow
TRAC	purple
ATP8B1	yellow
ABCD3	turquoise
ASAP1	blue
KANSL1	red
MCUR1	brown
TMEM30A	turquoise
SEPP1	magenta
NLRC5	turquoise
ENG	blue
AOX1	blue
IGFLR1	blue
EBI3	blue
TSIX	magenta
PRDM1	green
HAAO	brown
MCAM /// MIR6756	blue
FJX1	blue
LINC00294	brown
LINC01207	brown
PRICKLE2	blue
RP1-86D1.3	red
PCAT19	blue
PAM	blue
TMED7 /// TMED7-TICAM2	turquoise
CDC25B	turquoise
SLC9A3	grey60
ADTRP	turquoise
SNORD50A /// SNORD50B	red
GJB3	green
TPM4	green
IRF6	turquoise
GNAI2	blue
KIAA0895	grey
RPS16P5	blue
DAPK3 /// MIR637	midnightblue
RETSAT	greenyellow
PGGT1B	turquoise
CD74	brown
KRT16	grey
MOB1B	blue
KBTBD11	brown
LOC101243545 /// SNORD4A	turquoise
TIFA	cyan
RP5-1074L1.4	lightcyan
CCNG1	brown
FILIP1L	blue
TLR3	greenyellow
BTN3A2	turquoise
SH2B3	green
GTF2H4	turquoise
AGO2 /// CASC7 /// CASC7 /// DQ574852	yellow
LEO1	turquoise
EBF1	purple
AGPAT2	brown
F2RL1	turquoise
C1QBP	turquoise
CEL	brown
SLC17A4	brown
ACADS	black
SFTPA1 /// SFTPA2	yellow
JAK2	turquoise
RTN4IP1	turquoise
LOC344887	turquoise
RASSF3	turquoise
COBL	magenta
OSGIN1	brown
MFAP5	blue
LOC158402	yellow
MTFMT	turquoise
PSMG1	yellow
C1orf210	greenyellow
PRUNE2	yellow
SLC24A3	turquoise
CNTNAP3 /// CNTNAP3B /// CNTNAP3P2	blue
SALL1	blue
MND1	turquoise
PRR15	black
OGFRL1	blue
PDE6A	yellow
LOC729680	turquoise
SLC2A1	turquoise
EFEMP2	blue
DISP2	greenyellow
